NeuronType,MFs,Train Acc. Mean,Train Acc. Std,Train F1 Mean,Train F1 Std,Train Rec. Mean,Train Rec. Std,Train Prec. Mean,Train Prec. Std,Train Spec. Mean,Train Spec. Std,Test Acc.,Test Acc. Std,Test F1,Test F1 Std,Test Rec.,Test Rec. Std,Test Prec.,Test Prec. Std,Test Spec.,Test Spec. Std
andneuron_prod-probsum,2,0.736,0.013,0.732,0.015,0.731,0.014,0.754,0.015,0.859,0.007,0.672,0.016,0.664,0.017,0.668,0.016,0.680,0.021,0.830,0.008
orneuron_probsum-prod,2,0.747,0.002,0.744,0.002,0.741,0.002,0.768,0.003,0.865,0.001,0.684,0.008,0.676,0.009,0.680,0.010,0.694,0.007,0.835,0.004
