,Epoch,Train_max_fitness,Train_min_fitness,Train_avg_fitness,Train_std_fitness,Dev_max_fitness,Dev_min_fitness,Dev_avg_fitness,Dev_std_fitness,Test_max_fitness,Test_min_fitness,Test_avg_fitness,Test_std_fitness
0,0,0.62,0.38,0.5923499999999999,0.06957246222464747,0.542,0.458,0.46745000000000003,0.02526553977258353,0.577,0.433,0.5546,0.039234423660861883
1,1,0.62,0.62,0.6199999999999999,1.1102230246251565e-16,0.458,0.458,0.458,0.0,0.567,0.567,0.567,0.0
2,2,0.63,0.62,0.6209999999999999,0.0030000000000000027,0.458,0.438,0.457,0.004358898943540678,0.577,0.548,0.5670499999999999,0.00529598904832703
3,3,0.635,0.62,0.6212499999999999,0.0038324274291889767,0.5,0.458,0.46010000000000006,0.009153687781435412,0.577,0.558,0.5670499999999999,0.003007906248538993
4,4,0.635,0.385,0.6104999999999998,0.051935055598314316,0.562,0.458,0.46320000000000006,0.022666274506411514,0.596,0.462,0.5651999999999999,0.024699392705084863
5,5,0.646,0.38,0.6091499999999999,0.05501842873074438,0.542,0.438,0.4675000000000001,0.022428776159211187,0.587,0.433,0.5604,0.030811361540834234
6,6,0.646,0.38,0.6143,0.055462690161945806,0.542,0.438,0.4665,0.022292375378142184,0.596,0.433,0.5595000000000001,0.031302555806195745
7,7,0.656,0.562,0.62035,0.02068157392463156,0.542,0.417,0.4635000000000001,0.027002777634902678,0.654,0.558,0.5744999999999999,0.01973195378060673
8,8,0.641,0.594,0.6224000000000001,0.011723480711802287,0.542,0.417,0.4697000000000001,0.030548486050866745,0.625,0.529,0.5682,0.017976651523573556
9,9,0.651,0.578,0.6171500000000001,0.01880232698364755,0.542,0.417,0.4729,0.032961947757982994,0.625,0.548,0.5692,0.021378961621182618
