,Epoch,Train_max_fitness,Train_min_fitness,Train_avg_fitness,Train_std_fitness,Dev_max_fitness,Dev_min_fitness,Dev_avg_fitness,Dev_std_fitness,Test_max_fitness,Test_min_fitness,Test_avg_fitness,Test_std_fitness
0,0,0.625,0.526,0.6043000000000001,0.02849929823697417,0.458,0.354,0.4404,0.03162024667835468,0.606,0.538,0.56655,0.012843188856354939
1,1,0.62,0.38,0.5926499999999999,0.06693973035499919,0.562,0.438,0.46955,0.031283342212749594,0.567,0.433,0.5511999999999999,0.03989812025647322
2,2,0.625,0.38,0.6079999999999999,0.05233067933822377,0.562,0.458,0.46740000000000004,0.028376751047292228,0.587,0.433,0.56135,0.029915338874898268
3,3,0.62,0.38,0.5602999999999999,0.09649253857164294,0.542,0.458,0.47585000000000005,0.030630499506211127,0.587,0.433,0.5398000000000001,0.05293637690662251
4,4,0.625,0.38,0.5920499999999999,0.07302634798481983,0.542,0.438,0.4654000000000001,0.0259005791441041,0.587,0.433,0.5550999999999999,0.04097548047308291
5,5,0.625,0.38,0.5914999999999999,0.07285499296547902,0.542,0.417,0.46855,0.03211148548416907,0.577,0.433,0.5492999999999999,0.04244773256606292
6,6,0.63,0.38,0.5674999999999998,0.09267389060571483,0.583,0.458,0.48419999999999996,0.04020273622528695,0.577,0.423,0.5296500000000001,0.057584090684841056
7,7,0.63,0.37,0.49820000000000003,0.11204490171355411,0.667,0.438,0.5105,0.05394117165950329,0.577,0.365,0.4909,0.06935409144383624
8,8,0.635,0.365,0.5096499999999999,0.11835297841626123,0.542,0.438,0.49385,0.044407516255697096,0.577,0.423,0.5029,0.06508602000429892
9,9,0.635,0.38,0.5126999999999999,0.11820156513346175,0.542,0.438,0.4927,0.0410171915177039,0.587,0.433,0.50825,0.06842285802273972
10,10,0.625,0.38,0.5125000000000001,0.11577586104192876,0.542,0.438,0.49479999999999996,0.039703400358155734,0.587,0.433,0.51505,0.06796946005376236
11,11,0.62,0.38,0.5453499999999999,0.10790054448426106,0.542,0.438,0.4811500000000001,0.038033242039037386,0.596,0.423,0.5351,0.06295228351696228
12,12,0.63,0.38,0.57665,0.09083626753670584,0.542,0.458,0.4748,0.03360000000000001,0.596,0.433,0.54945,0.049845235479431725
13,13,0.635,0.38,0.57495,0.09762964457581519,0.542,0.438,0.47800000000000004,0.03537937252128704,0.625,0.423,0.5414,0.05737891598836632
14,14,0.635,0.615,0.62575,0.004264680527307999,0.458,0.438,0.457,0.004358898943540678,0.587,0.558,0.56905,0.006696827607158479
15,15,0.635,0.505,0.61825,0.02637588861062315,0.521,0.458,0.46115000000000006,0.01373053167215312,0.567,0.49,0.56315,0.016781760932631583
16,16,0.635,0.38,0.61275,0.05365340156970479,0.542,0.438,0.46020000000000005,0.019696700231257015,0.577,0.433,0.5612999999999999,0.029585638407849158
17,17,0.635,0.38,0.612,0.0535350352572967,0.542,0.438,0.4612,0.019041008376659053,0.577,0.433,0.5613499999999999,0.029747731005910338
18,18,0.635,0.448,0.61515,0.03878695012500983,0.5,0.458,0.46010000000000006,0.009153687781435412,0.567,0.442,0.56075,0.027243118397129194
19,19,0.635,0.448,0.6161000000000001,0.03909974424468784,0.5,0.458,0.4601,0.00915368778143541,0.567,0.442,0.5580499999999999,0.026934132620153175
20,20,0.63,0.609,0.62245,0.005481559996935185,0.458,0.458,0.458,0.0,0.577,0.558,0.5670499999999999,0.0030079062485389926
21,21,0.63,0.615,0.6224999999999999,0.004873397172404486,0.458,0.458,0.458,0.0,0.577,0.558,0.5670999999999999,0.004253234063627327
22,22,0.63,0.615,0.6227499999999999,0.005117372372614684,0.458,0.438,0.457,0.004358898943540678,0.577,0.558,0.5680499999999999,0.004236448984704043
23,23,0.63,0.609,0.6222,0.005473572873361608,0.458,0.458,0.458,0.0,0.577,0.558,0.56615,0.0040530852446006805
24,24,0.63,0.609,0.62115,0.005659284407060672,0.458,0.458,0.458,0.0,0.567,0.558,0.5652,0.0035999999999999587
25,25,0.63,0.609,0.6201999999999999,0.0035014282800023225,0.458,0.458,0.458,0.0,0.567,0.558,0.5660999999999999,0.002699999999999969
26,26,0.63,0.615,0.6204999999999999,0.0026925824035672545,0.458,0.458,0.458,0.0,0.567,0.558,0.5660999999999999,0.002699999999999969
27,27,0.63,0.615,0.6197499999999999,0.0029474565306379014,0.458,0.458,0.458,0.0,0.567,0.558,0.56655,0.0019615045245932805
28,28,0.63,0.62,0.6204999999999998,0.0021794494717703385,0.458,0.458,0.458,0.0,0.567,0.558,0.56655,0.0019615045245932805
29,29,0.63,0.62,0.6207499999999999,0.002384848003542366,0.458,0.458,0.458,0.0,0.577,0.558,0.5670499999999999,0.003007906248538992
