Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time
2,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.758,0.746,0.689,1375.470403432846
2,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.758,0.754,0.698,1660.6266033649445
2,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.76,0.746,0.692,1268.034126996994
2,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.757,0.746,0.672,1329.8302369117737
3,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.767,0.746,0.708,1858.6533768177032
3,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.753,0.761,0.692,1758.9286382198334
3,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.758,0.761,0.685,2325.9278852939606
3,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.76,0.768,0.689,1837.229965209961
3,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.757,0.754,0.689,1783.6153287887573
3,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.757,0.754,0.695,1979.3407189846039
3,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.758,0.754,0.669,1909.1225049495697
3,andneuron_prod-probsum,2,,0.2,0.7,0.7,50,20,50,70,plus,0.769,0.761,0.692,2213.1141617298126
3,orneuron_probsum-prod,2,,0.1,0.3,0.3,50,20,50,70,plus,0.753,0.754,0.672,1474.2489070892334
3,orneuron_probsum-prod,2,,0.1,0.3,0.7,50,20,50,70,plus,0.755,0.746,0.682,1220.2661254405975
3,orneuron_probsum-prod,2,,0.1,0.7,0.3,50,20,50,70,plus,0.753,0.746,0.692,1204.5988943576813
3,orneuron_probsum-prod,2,,0.1,0.7,0.7,50,20,50,70,plus,0.769,0.761,0.685,1844.9071142673492
3,orneuron_probsum-prod,2,,0.2,0.3,0.3,50,20,50,70,plus,0.762,0.754,0.695,1576.9510531425476
3,orneuron_probsum-prod,2,,0.2,0.3,0.7,50,20,50,70,plus,0.753,0.746,0.682,1202.925273656845
3,orneuron_probsum-prod,2,,0.2,0.7,0.3,50,20,50,70,plus,0.762,0.761,0.698,1416.662755727768
3,orneuron_probsum-prod,2,,0.2,0.7,0.7,50,20,50,70,plus,0.758,0.754,0.675,1260.1778120994568
4,andneuron_prod-probsum,2,,0.1,0.3,0.3,50,20,50,70,plus,0.764,0.746,0.702,1675.224026441574
4,andneuron_prod-probsum,2,,0.1,0.3,0.7,50,20,50,70,plus,0.751,0.761,0.698,1533.9815335273743
4,andneuron_prod-probsum,2,,0.1,0.7,0.3,50,20,50,70,plus,0.765,0.754,0.705,2163.2620046138763
4,andneuron_prod-probsum,2,,0.1,0.7,0.7,50,20,50,70,plus,0.753,0.761,0.682,1603.9586560726166
4,andneuron_prod-probsum,2,,0.2,0.3,0.3,50,20,50,70,plus,0.764,0.761,0.675,2173.423340320587
4,andneuron_prod-probsum,2,,0.2,0.3,0.7,50,20,50,70,plus,0.776,0.761,0.698,2802.519999027252
4,andneuron_prod-probsum,2,,0.2,0.7,0.3,50,20,50,70,plus,0.762,0.754,0.695,1666.2909586429596
