Seed,NeuronType,MFs,update_gene,mutation_rate,mutation_individual_rate,crossover_rate,max_generations,max_patience,mu,lambda,selection_strategy,Train_Acc.,Dev_Acc.,Test_Acc.,time,Train_F1,Dev_F1,Test_F1
0,andneuron_prod-probsum,3,all,0.5,0.2,0.2,80,20,50,70,plus,0.494,0.493,0.423,50897.86494064331,0.349,0.341,0.287
0,andneuron_prod-probsum,3,all,0.5,0.2,0.5,80,20,50,70,plus,0.517,0.521,0.466,64345.16309142113,0.385,0.39,0.344
0,andneuron_prod-probsum,3,all,0.5,0.2,0.8,80,20,50,70,plus,0.526,0.542,0.452,73571.42393755913,0.386,0.395,0.326
0,andneuron_prod-probsum,3,all,0.5,0.5,0.2,80,20,50,70,plus,0.492,0.493,0.443,61049.81158685684,0.344,0.342,0.303
0,andneuron_prod-probsum,3,all,0.5,0.5,0.5,80,20,50,70,plus,0.511,0.528,0.472,62877.27671289444,0.381,0.396,0.351
0,andneuron_prod-probsum,3,all,0.5,0.5,0.8,80,20,50,70,plus,0.524,0.521,0.456,89230.59558749199,0.381,0.379,0.322
0,andneuron_prod-probsum,3,all,0.5,0.8,0.2,80,20,50,70,plus,0.503,0.514,0.449,57494.07898855209,0.368,0.379,0.324
0,andneuron_prod-probsum,3,all,0.5,0.8,0.5,80,20,50,70,plus,0.492,0.514,0.443,68450.23066997528,0.352,0.367,0.309
0,andneuron_prod-probsum,3,all,0.5,0.8,0.8,80,20,50,70,plus,0.496,0.542,0.426,66423.38512444496,0.362,0.398,0.307
0,andneuron_prod-probsum,3,all,0.8,0.2,0.2,80,20,50,70,plus,0.494,0.535,0.469,62664.54108262062,0.369,0.403,0.344
0,andneuron_prod-probsum,3,all,0.8,0.2,0.5,80,20,50,70,plus,0.487,0.5,0.43,42120.11228013039,0.336,0.346,0.285
0,andneuron_prod-probsum,3,all,0.8,0.2,0.8,80,20,50,70,plus,0.501,0.563,0.462,46833.48277592659,0.369,0.42,0.338
0,andneuron_prod-probsum,3,all,0.8,0.5,0.2,80,20,50,70,plus,0.496,0.507,0.436,52164.78058934212,0.359,0.369,0.308
0,andneuron_prod-probsum,3,all,0.8,0.5,0.5,80,20,50,70,plus,0.499,0.521,0.439,69586.91103243828,0.367,0.387,0.317
0,andneuron_prod-probsum,3,all,0.8,0.5,0.8,80,20,50,70,plus,0.527,0.556,0.469,62874.460936546326,0.398,0.418,0.35
0,andneuron_prod-probsum,3,all,0.8,0.8,0.2,80,20,50,70,plus,0.48,0.5,0.439,46928.63718271256,0.338,0.35,0.305
0,andneuron_prod-probsum,3,all,0.8,0.8,0.5,80,20,50,70,plus,0.496,0.521,0.472,64792.02541041374,0.366,0.388,0.351
0,andneuron_prod-probsum,3,all,0.8,0.8,0.8,80,20,50,70,plus,0.432,0.521,0.403,40333.09086322784,0.326,0.396,0.303
0,orneuron_probsum-prod,2,all,0.2,0.2,0.2,80,20,50,70,plus,0.459,0.465,0.436,2904.189165353775,0.32,0.326,0.302
0,orneuron_probsum-prod,2,all,0.2,0.2,0.5,80,20,50,70,plus,0.446,0.479,0.43,2689.577534675598,0.286,0.327,0.274
0,orneuron_probsum-prod,2,all,0.2,0.2,0.8,80,20,50,70,plus,0.443,0.458,0.403,2839.090856313705,0.319,0.331,0.294
0,orneuron_probsum-prod,2,all,0.2,0.5,0.2,80,20,50,70,plus,0.476,0.465,0.449,2874.967985868454,0.339,0.326,0.318
0,orneuron_probsum-prod,2,all,0.2,0.5,0.5,80,20,50,70,plus,0.471,0.472,0.446,3289.438136816025,0.338,0.336,0.32
0,orneuron_probsum-prod,2,all,0.2,0.5,0.8,80,20,50,70,plus,0.443,0.486,0.43,3262.472909927368,0.291,0.336,0.288
0,orneuron_probsum-prod,2,all,0.2,0.8,0.2,80,20,50,70,plus,0.462,0.486,0.436,3035.5676662921906,0.317,0.342,0.298
0,orneuron_probsum-prod,2,all,0.2,0.8,0.5,80,20,50,70,plus,0.464,0.472,0.426,3911.96457695961,0.345,0.349,0.318
0,orneuron_probsum-prod,2,all,0.2,0.8,0.8,80,20,50,70,plus,0.489,0.514,0.459,5519.317561388016,0.369,0.389,0.344
0,orneuron_probsum-prod,2,all,0.5,0.2,0.2,80,20,50,70,plus,0.487,0.472,0.462,3700.104518413544,0.353,0.337,0.337
0,orneuron_probsum-prod,2,all,0.5,0.2,0.5,80,20,50,70,plus,0.467,0.507,0.456,3551.8668596744537,0.355,0.384,0.343
0,orneuron_probsum-prod,2,all,0.5,0.2,0.8,80,20,50,70,plus,0.473,0.514,0.462,4110.006645441055,0.336,0.372,0.328
0,orneuron_probsum-prod,2,all,0.5,0.5,0.2,80,20,50,70,plus,0.48,0.472,0.439,3315.443656206131,0.35,0.341,0.323
0,orneuron_probsum-prod,2,all,0.5,0.5,0.5,80,20,50,70,plus,0.422,0.458,0.387,2830.9430632591248,0.3,0.329,0.271
0,orneuron_probsum-prod,2,all,0.5,0.5,0.8,80,20,50,70,plus,0.489,0.507,0.456,4366.037830114365,0.365,0.382,0.34
0,orneuron_probsum-prod,2,all,0.5,0.8,0.2,80,20,50,70,plus,0.439,0.458,0.416,3236.2765007019043,0.292,0.309,0.27
0,orneuron_probsum-prod,2,all,0.5,0.8,0.5,80,20,50,70,plus,0.462,0.458,0.43,3627.2926235198975,0.329,0.318,0.3
0,orneuron_probsum-prod,2,all,0.5,0.8,0.8,80,20,50,70,plus,0.453,0.479,0.433,3355.331848859787,0.338,0.356,0.317
0,orneuron_probsum-prod,2,all,0.8,0.2,0.2,80,20,50,70,plus,0.476,0.479,0.439,3610.2046132087703,0.342,0.344,0.313
0,orneuron_probsum-prod,2,all,0.8,0.2,0.5,80,20,50,70,plus,0.471,0.507,0.449,4079.6147499084473,0.36,0.388,0.343
0,orneuron_probsum-prod,2,all,0.8,0.2,0.8,80,20,50,70,plus,0.487,0.514,0.466,3974.93984746933,0.368,0.385,0.348
0,orneuron_probsum-prod,2,all,0.8,0.5,0.2,80,20,50,70,plus,0.483,0.465,0.443,3391.305674791336,0.356,0.336,0.327
0,orneuron_probsum-prod,2,all,0.8,0.5,0.5,80,20,50,70,plus,0.481,0.472,0.449,4372.453361511231,0.348,0.336,0.328
0,orneuron_probsum-prod,2,all,0.8,0.5,0.8,80,20,50,70,plus,0.496,0.458,0.462,4974.906457424164,0.359,0.32,0.331
0,orneuron_probsum-prod,2,all,0.8,0.8,0.2,80,20,50,70,plus,0.474,0.472,0.443,3495.7814025878906,0.353,0.346,0.33
0,orneuron_probsum-prod,2,all,0.8,0.8,0.5,80,20,50,70,plus,0.432,0.479,0.443,2907.1438064575195,0.299,0.348,0.304
0,orneuron_probsum-prod,2,all,0.8,0.8,0.8,80,20,50,70,plus,0.496,0.486,0.469,5804.164371490479,0.369,0.359,0.353
0,orneuron_probsum-prod,3,all,0.2,0.2,0.2,80,20,50,70,plus,0.487,0.507,0.443,35057.18045926094,0.351,0.373,0.314
0,orneuron_probsum-prod,3,all,0.2,0.2,0.5,80,20,50,70,plus,0.469,0.5,0.416,31018.23851084709,0.329,0.354,0.289
0,orneuron_probsum-prod,3,all,0.2,0.2,0.8,80,20,50,70,plus,0.483,0.507,0.462,38948.11399197578,0.359,0.383,0.342
0,orneuron_probsum-prod,3,all,0.2,0.5,0.2,80,20,50,70,plus,0.494,0.514,0.443,45225.85086584091,0.365,0.386,0.327
